               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12479,             0.15209,            0.061922,            0.003369,           0.0064362,           0.0018046,          0.00062709,             0.12247,              0.1304,            0.055892,               0.091,               0.001,               0.001
                   1,             0.11448,             0.17049,            0.052503,           0.0025138,           0.0023065,           0.0013027,          0.00027826,             0.11485,             0.12668,            0.047987,            0.081058,           0.0020584,           0.0020584
                   2,             0.10399,             0.16514,            0.042153,             0.18351,           0.0082714,           0.0073497,           0.0023569,             0.09908,             0.31293,            0.036174,            0.071073,           0.0030733,           0.0030733
                   3,            0.090423,             0.14989,            0.030988,             0.35776,             0.01351,            0.008842,           0.0028962,            0.097344,             0.27813,             0.03069,            0.061045,           0.0040446,           0.0040446
                   4,            0.083752,             0.15135,            0.026811,            0.053833,            0.030121,            0.034836,            0.012126,             0.10074,             0.19487,            0.028734,            0.050972,           0.0049723,           0.0049723
                   5,            0.084032,             0.15815,            0.025529,            0.079078,            0.046188,            0.041787,             0.02173,            0.088271,             0.18453,            0.027867,            0.040857,           0.0058565,           0.0058565
                   6,            0.084125,             0.15134,            0.024412,             0.62311,            0.054912,            0.046143,            0.019019,            0.084521,             0.15797,            0.026485,            0.030697,           0.0066971,           0.0066971
                   7,            0.077428,               0.163,            0.023822,            0.083347,            0.059651,            0.054616,            0.023873,              0.0934,             0.14794,            0.024723,            0.020494,           0.0074942,           0.0074942
                   8,            0.082145,             0.16162,            0.023828,            0.067284,              0.1053,            0.073207,            0.032404,            0.070069,              0.1379,            0.023896,            0.010248,           0.0082477,           0.0082477
                   9,            0.074959,             0.15466,             0.02266,            0.071252,             0.22785,             0.09369,            0.030574,            0.088792,             0.11928,            0.022734,            0.008218,            0.008218,            0.008218
                  10,            0.083762,             0.15364,            0.022076,             0.68002,             0.17826,             0.17939,            0.076522,            0.079866,             0.11405,             0.02246,            0.008218,            0.008218,            0.008218
                  11,            0.075915,             0.15552,             0.02244,             0.12102,              0.4376,             0.21616,            0.081515,            0.065083,             0.11877,             0.02159,             0.00802,             0.00802,             0.00802
                  12,             0.06725,             0.15658,            0.021429,             0.19399,             0.39748,             0.21058,            0.087367,            0.059085,             0.12484,            0.021249,            0.007822,            0.007822,            0.007822
                  13,            0.065625,             0.14994,            0.021425,             0.42311,             0.48795,             0.28609,             0.10458,            0.067273,             0.11742,            0.020985,            0.007624,            0.007624,            0.007624
                  14,            0.059484,             0.16355,            0.020477,             0.19798,             0.46066,             0.26063,             0.10782,            0.061664,             0.12023,             0.02042,            0.007426,            0.007426,            0.007426
                  15,            0.061458,             0.15076,            0.020434,             0.42639,             0.47512,             0.35378,             0.15876,            0.062035,             0.11704,            0.019922,            0.007228,            0.007228,            0.007228
                  16,             0.06031,             0.15472,            0.020004,             0.41171,             0.50133,              0.3909,             0.15482,             0.05773,             0.12208,             0.01961,             0.00703,             0.00703,             0.00703
                  17,            0.057671,             0.14414,            0.020081,             0.46195,             0.51828,             0.44549,             0.20828,            0.050431,             0.11747,             0.01932,            0.006832,            0.006832,            0.006832
                  18,            0.056168,             0.15444,            0.019419,             0.44476,             0.54074,             0.35682,             0.14334,            0.059795,             0.12033,            0.018718,            0.006634,            0.006634,            0.006634
                  19,            0.057155,             0.14615,            0.019001,             0.50156,             0.58515,             0.50147,             0.23355,            0.043519,             0.11589,            0.018567,            0.006436,            0.006436,            0.006436
                  20,            0.051809,             0.15323,            0.018934,             0.50251,             0.59169,             0.50781,              0.2383,            0.042741,             0.11643,            0.018301,            0.006238,            0.006238,            0.006238
                  21,             0.05084,             0.15872,            0.018318,             0.50302,             0.59762,             0.45033,             0.21575,            0.044962,             0.11416,            0.017858,             0.00604,             0.00604,             0.00604
                  22,            0.051847,             0.14672,            0.018212,             0.54404,              0.5855,             0.52901,             0.26473,            0.045807,             0.11427,            0.017499,            0.005842,            0.005842,            0.005842
                  23,            0.050775,             0.14493,            0.017787,             0.52975,             0.57697,             0.46877,             0.21536,             0.04582,             0.11471,             0.01705,            0.005644,            0.005644,            0.005644
                  24,            0.048938,             0.14638,            0.017492,              0.5577,               0.572,             0.49577,             0.23675,            0.048057,             0.11383,            0.016829,            0.005446,            0.005446,            0.005446
                  25,             0.04747,             0.14706,            0.016663,             0.57482,             0.57051,             0.51188,             0.27946,            0.038354,             0.11007,            0.016496,            0.005248,            0.005248,            0.005248
                  26,            0.046833,             0.15193,            0.016313,             0.56513,             0.53924,             0.51021,             0.25445,            0.046077,             0.11938,            0.016025,             0.00505,             0.00505,             0.00505
                  27,            0.046247,             0.14456,            0.016007,             0.58456,             0.61585,             0.53405,             0.27245,            0.044021,             0.11171,            0.015855,            0.004852,            0.004852,            0.004852
                  28,            0.047418,             0.14807,            0.016105,             0.58455,             0.60664,             0.55303,             0.29739,             0.04261,             0.11112,            0.015607,            0.004654,            0.004654,            0.004654
                  29,            0.046766,             0.14584,            0.015842,             0.62129,             0.60834,             0.56689,             0.30177,            0.044597,             0.11021,            0.015163,            0.004456,            0.004456,            0.004456
                  30,            0.045673,             0.14124,            0.015497,             0.65669,             0.59777,             0.58678,             0.30663,            0.039437,             0.11034,            0.014994,            0.004258,            0.004258,            0.004258
                  31,             0.04383,             0.13808,            0.015365,             0.70036,             0.61506,             0.62184,             0.33898,             0.03932,             0.10963,             0.01476,             0.00406,             0.00406,             0.00406
                  32,            0.043929,             0.14026,            0.015028,             0.70164,              0.6205,             0.62602,             0.34799,             0.03863,             0.10855,            0.014533,            0.003862,            0.003862,            0.003862
                  33,            0.040686,             0.13789,            0.014869,             0.70264,             0.61646,             0.63357,             0.36657,             0.03358,             0.10617,            0.014113,            0.003664,            0.003664,            0.003664
                  34,            0.041392,             0.14199,            0.014714,             0.70617,             0.61618,             0.63703,             0.36113,            0.036837,             0.10758,            0.013778,            0.003466,            0.003466,            0.003466
                  35,            0.040751,             0.13431,            0.014429,             0.72191,             0.61361,             0.64385,             0.37414,            0.035909,             0.10708,            0.013521,            0.003268,            0.003268,            0.003268
                  36,            0.040317,             0.13451,            0.014315,             0.70794,             0.61118,             0.63539,             0.36708,            0.035979,             0.10697,            0.013373,             0.00307,             0.00307,             0.00307
                  37,            0.040541,             0.14538,            0.014058,             0.72681,             0.61776,             0.63814,             0.38848,            0.032014,             0.10476,             0.01315,            0.002872,            0.002872,            0.002872
                  38,            0.039139,             0.13133,            0.013276,             0.73015,             0.60672,             0.63963,             0.39011,            0.034011,             0.10596,            0.012931,            0.002674,            0.002674,            0.002674
                  39,            0.038282,             0.12814,            0.013374,             0.72923,             0.61107,             0.63683,             0.37554,            0.034184,             0.10564,            0.012787,            0.002476,            0.002476,            0.002476
                  40,            0.038949,              0.1388,            0.013509,             0.73428,             0.60705,             0.64841,             0.39197,            0.033844,             0.10552,            0.012684,            0.002278,            0.002278,            0.002278
                  41,            0.038192,             0.13398,            0.013108,             0.77725,             0.59696,             0.65863,             0.40485,            0.031896,             0.10426,            0.012472,             0.00208,             0.00208,             0.00208
                  42,            0.036983,             0.13971,            0.012616,             0.77224,             0.60677,             0.65879,             0.41616,            0.032339,             0.10523,            0.012304,            0.001882,            0.001882,            0.001882
                  43,            0.036199,              0.1346,            0.012707,             0.74904,             0.60875,             0.65691,             0.41018,            0.030992,             0.10286,            0.012213,            0.001684,            0.001684,            0.001684
                  44,            0.036117,             0.13884,            0.013002,             0.75905,             0.61033,              0.6645,             0.41217,            0.031124,             0.10279,            0.012105,            0.001486,            0.001486,            0.001486
                  45,            0.035228,             0.13565,            0.013071,             0.78545,             0.60772,             0.66553,             0.42515,            0.030067,             0.10204,            0.011976,            0.001288,            0.001288,            0.001288
                  46,            0.034957,             0.12762,            0.012506,             0.78048,             0.61272,             0.66498,             0.42727,            0.030071,             0.10193,            0.011882,             0.00109,             0.00109,             0.00109
                  47,            0.033814,             0.12613,            0.012435,             0.76888,             0.61001,             0.66538,             0.42738,            0.030209,               0.102,            0.011778,            0.000892,            0.000892,            0.000892
                  48,            0.035098,             0.13849,            0.012674,             0.77178,             0.61953,             0.66846,             0.43057,            0.029812,             0.10183,            0.011702,            0.000694,            0.000694,            0.000694
                  49,             0.03445,             0.13388,             0.01229,             0.77363,             0.61562,             0.67243,             0.43545,            0.029732,             0.10168,            0.011644,            0.000496,            0.000496,            0.000496
